x,y
0.035832,-0.0051367
0.048631,0.015574
0.06143,0.036284
0.015127,-0.0063251
-0.031177,-0.048935
-0.048118,-0.12105
-0.11396,0.053906
-0.08615,0.042708
0.0054281,-0.11594
-0.083112,-0.14142
-0.010547,-0.19651
-0.1794,-0.15726
-0.21096,-0.035503
-0.24252,0.086256
-0.079416,-0.084833
0.083693,-0.25592
-0.20928,0.057966
-0.10921,-0.1029
-0.056069,-0.08764
-0.0015084,-0.093432
-0.09771,-0.058336
0.058689,-0.075429
-0.0085083,-0.011537
-0.013527,-0.024665
-0.0012488,-0.031142
0.042651,-0.019486
0.099689,0.006286
-0.011888,0.018726
0.026015,0.10818
0.0086339,0.14977
0.09753,0.14923
0.11091,0.1542
-0.12469,0.18301
-0.022495,0.21685
-0.11956,0.17914
0.1369,-0.09979
0.081259,-0.054303
0.067021,-0.021855
0.1149,-0.042652
0.0051246,-0.03121
0.051347,-0.065321
-0.014139,0.049437
-0.0089841,0.067168
0.0021986,0.058537
0.03366,0.030916
0.065121,0.0032948
0.085931,-0.026954
-0.052305,-0.055127
-0.12687,-0.097493
0.036575,-0.094529
0.1174,-0.037868
0.1139,-0.03148
-0.036407,-0.014764
-0.069719,-0.054681
-0.0056697,-0.015239
-0.043342,-0.0033101
-0.06199,0.032271
-0.089512,-0.015382
0.014715,-0.034403
-0.041707,-0.069677
0.0022962,0.0018396
-0.031715,-0.027406
-0.051813,-0.056214
-0.058327,-0.079775
0.0099529,-0.027626
0.013276,-0.0078085
0.016071,-0.0073745
0.029879,-0.024262
0.049979,-0.028446
0.069866,-0.043354
-0.030689,-0.066886
-0.0094305,-0.079362
0.014668,-0.10279
-0.011503,0.088758
0.091775,0.011563
0.058101,-0.064742
0.098647,-0.022319
0.057465,-0.021634
0.070448,-0.088839
0.063077,-0.084127
0.012573,-0.019249
0.039008,0.022911
0.038578,0.052059
0.017426,0.070637
0.0084264,-0.040431
-0.028107,0.0019264
-0.065973,0.041285
-0.098505,0.035958
-0.021359,-0.073037
-0.048275,-0.11981
-0.03942,0.029809
-0.07238,-0.016105
-0.0050819,0.010393
-0.029888,0.059792
-0.055355,-0.038731
-0.10316,-0.0020673
-0.039982,-0.060296
-0.055775,-0.12197
-0.045379,0.00023573
-0.10637,-0.033883
-0.060859,-0.073302
-0.11792,-0.10026
0.02998,0.089537
-0.00020432,-0.019051
-0.028268,-0.06758
-0.047085,0.039421
-0.090968,0.029657
-0.043922,-0.036292
-0.054742,-0.01814
-0.069039,-0.0052574
-0.086828,0.0072157
0.023992,-0.018521
0.053038,0.0032123
0.098505,-0.0044477
-0.008191,0.029879
0.063973,0.011169
0.022933,0.010174
4.828e-05,-0.052728
-0.010691,0.048694
0.048895,0.088463
0.064425,0.010645
0.12462,-0.017594
0.10541,-0.029117
-0.017307,-0.010588
0.022789,0.010812
0.062813,0.032999
0.11127,0.049673
-0.025836,-0.039725
-0.010596,-0.06675
